Date,Type,Description
2026-01-01,Праздничный день,Новогодние каникулы
2026-01-02,Праздничный день,Новогодние каникулы
2026-01-03,Праздничный день,Новогодние каникулы
2026-01-04,Праздничный день,Новогодние каникулы
2026-01-05,Праздничный день,Новогодние каникулы
2026-01-06,Праздничный день,Новогодние каникулы
2026-01-07,Праздничный день,Новогодние каникулы
2026-01-08,Праздничный день,Новогодние каникулы
2026-01-09,Праздничный день,Новогодние каникулы
2026-01-10,Праздничный день,Новогодние каникулы
2026-01-11,Праздничный день,Новогодние каникулы
2026-02-23,Праздничный день,День защитника Отечества
2026-03-08,Праздничный день,Международный женский день
2026-05-01,Праздничный день,Праздник Весны и Труда
2026-05-09,Праздничный день,День Победы
2026-06-12,Праздничный день,День России
2026-11-04,Праздничный день,День народного единства
2026-12-31,Праздничный день,Выходной за счет переноса
2026-04-30,Предпраздничный день,Сокращенный день перед 1 мая
2026-05-08,Предпраздничный день,Сокращенный день перед 9 мая
2026-06-11,Предпраздничный день,Сокращенный день перед 12 июня
2026-11-03,Предпраздничный день,Сокращенный день перед 4 ноября
